Rank,Player_Name,Country_Code,Total_Matches,Win-Loss,Win-Loss_Percentage,Service_Points_Won_Percentage,Ace_Rate_Percentage,Double_Fault_Rate,First_Serves_In_Percentage,First_Serve_Points_Won_Percentage,Second_Serve_Points_Won_Percentage,Service_Games_Won_Percentage,Points_Per_Service_Game,Points_Lost_Per_Service_Game
1,Jannik Sinner,ITA,56,52-4,92.9%,71.0%,10.9%,2.3%,61.2%,78.9%,58.5%,91.3%,6.0,1.8
2,Carlos Alcaraz,ESP,72,59-13,81.9%,67.6%,6.7%,3.2%,64.5%,73.6%,56.7%,86.3%,6.1,2.0
3,Alexander Zverev,GER,80,59-21,73.8%,70.1%,11.7%,3.1%,69.1%,76.7%,55.4%,89.1%,6.0,1.8
4,Taylor Fritz,USA,66,45-21,68.2%,71.2%,13.6%,2.3%,64.6%,79.3%,56.4%,90.5%,5.9,1.7
5,Jack Draper,GBR,64,48-16,75.0%,68.0%,11.2%,3.8%,61.8%,77.1%,53.2%,85.9%,6.1,1.9
6,Novak Djokovic,SRB,45,35-10,77.8%,70.1%,9.7%,3.2%,66.0%,77.0%,56.6%,88.8%,6.1,1.8
7,Lorenzo Musetti,ITA,69,49-20,71.0%,64.5%,4.4%,2.2%,66.3%,70.1%,53.5%,80.4%,6.4,2.3
8,Casper Ruud,NOR,58,36-22,62.1%,66.0%,7.7%,3.4%,66.1%,72.3%,53.6%,83.3%,6.3,2.1
9,Alex De Minaur,AUS,64,44-20,68.8%,65.0%,5.7%,3.9%,53.9%,74.6%,53.9%,81.5%,6.1,2.1
10,Holger Rune,DEN,62,40-22,64.5%,65.8%,7.1%,3.6%,61.1%,72.9%,54.8%,84.0%,6.2,2.1
11,Daniil Medvedev,RUS,58,37-21,63.8%,64.7%,9.3%,5.8%,61.1%,74.2%,49.8%,80.7%,6.3,2.2
12,Tommy Paul,USA,63,45-18,71.4%,65.5%,7.3%,2.3%,62.1%,72.6%,53.8%,82.8%,6.4,2.2
13,Ben Shelton,USA,62,37-25,59.7%,68.8%,10.9%,3.4%,67.4%,75.4%,55.0%,88.4%,6.4,2.0
14,Arthur Fils,FRA,68,44-24,64.7%,66.1%,7.8%,3.8%,61.7%,75.2%,51.4%,83.7%,6.3,2.1
15,Andrey Rublev,RUS,62,34-28,54.8%,66.3%,10.2%,3.3%,61.3%,75.9%,51.0%,83.2%,6.2,2.1
16,Frances Tiafoe,USA,58,33-25,56.9%,65.7%,9.6%,3.2%,58.0%,75.3%,52.5%,82.6%,6.4,2.2
17,Grigor Dimitrov,BUL,50,32-18,64.0%,67.3%,10.7%,5.2%,59.0%,78.6%,51.0%,83.8%,6.2,2.0
18,Francisco Cerundolo,ARG,73,46-27,63.0%,63.5%,4.8%,4.0%,61.9%,70.0%,53.0%,80.0%,6.6,2.4
19,Jakub Mensik,CZE,57,34-23,59.6%,65.3%,14.5%,4.7%,60.1%,77.2%,47.5%,83.2%,6.5,2.2
20,Stefanos Tsitsipas,GRE,56,34-22,60.7%,67.7%,8.8%,3.9%,61.1%,75.9%,54.7%,86.2%,6.2,2.0
21,Ugo Humbert,FRA,55,32-23,58.2%,67.0%,9.8%,2.8%,61.3%,75.1%,54.0%,85.1%,6.2,2.0
22,Tomas Machac,CZE,54,31-23,57.4%,63.7%,7.5%,4.1%,61.9%,71.0%,51.9%,79.0%,6.3,2.3
23,Sebastian Korda,USA,40,25-15,62.5%,67.1%,9.7%,2.5%,61.3%,74.9%,54.6%,84.8%,6.2,2.0
24,Karen Khachanov,RUS,53,29-24,54.7%,65.9%,8.3%,2.6%,63.8%,73.7%,52.2%,80.9%,6.1,2.1
25,Alexei Popyrin,AUS,51,27-24,52.9%,65.3%,11.1%,3.9%,64.2%,75.2%,47.6%,83.1%,6.5,2.3
