Rank,Player_Name,Country_Code,Total_Matches,Win-Loss,Win-Loss_Percentage,Service_Points_Won_Percentage,Ace_Rate_Percentage,Double_Fault_Rate,First_Serves_In_Percentage,First_Serve_Points_Won_Percentage,Second_Serve_Points_Won_Percentage,Service_Games_Won_Percentage,Points_Per_Service_Game,Points_Lost_Per_Service_Game
1,Aryna Sabalenka,BLR,73,61-12,83.6%,62.0%,5.6%,3.4%,62.8%,68.6%,50.9%,78.0%,6.5,2.5
2,Coco Gauff,USA,64,48-16,75.0%,60.7%,5.3%,9.1%,59.5%,72.0%,43.9%,73.9%,6.5,2.6
3,Jessica Pegula,USA,73,53-20,72.6%,60.6%,4.0%,3.4%,62.3%,66.9%,50.3%,73.6%,6.5,2.5
4,Jasmine Paolini,ITA,59,41-18,69.5%,58.3%,2.4%,2.5%,67.0%,63.1%,48.7%,69.2%,6.6,2.7
5,Iga Swiatek,POL,60,46-14,76.7%,61.5%,4.3%,3.7%,64.0%,68.1%,49.7%,76.0%,6.4,2.5
6,Mirra Andreeva,RUS,59,44-15,74.6%,60.6%,4.9%,4.7%,62.0%,67.3%,49.8%,73.2%,6.5,2.6
7,Qinwen Zheng,CHN,61,45-16,73.8%,61.5%,9.8%,5.1%,54.2%,73.9%,46.8%,76.4%,6.4,2.4
8,Madison Keys,USA,44,32-12,72.7%,60.5%,6.5%,4.1%,68.0%,66.4%,47.9%,74.9%,6.6,2.6
9,Emma Navarro,USA,58,36-22,62.1%,57.9%,2.0%,4.1%,63.6%,64.0%,47.3%,67.9%,6.5,2.7
10,Paula Badosa,ESP,55,39-16,70.9%,60.8%,7.1%,7.3%,57.4%,71.3%,46.8%,75.3%,6.6,2.6
11,Elena Rybakina,KAZ,46,32-14,69.6%,63.1%,9.0%,4.5%,58.8%,73.7%,47.9%,79.6%,6.5,2.4
12,Diana Shnaider,RUS,71,47-24,66.2%,59.5%,2.9%,3.9%,64.8%,64.0%,51.2%,72.3%,6.6,2.7
13,Karolina Muchova,CZE,47,33-14,70.2%,60.5%,6.4%,3.3%,59.7%,68.0%,49.5%,74.0%,6.6,2.6
14,Elina Svitolina,UKR,52,37-15,71.2%,60.1%,5.0%,4.4%,60.0%,68.3%,47.9%,75.7%,6.7,2.7
15,Barbora Krejcikova,CZE,26,16-10,61.5%,60.1%,4.3%,5.4%,65.5%,66.8%,47.2%,69.8%,6.6,2.6
16,Amanda Anisimova,USA,38,25-13,65.8%,57.5%,3.6%,6.7%,62.2%,62.7%,48.9%,68.3%,6.7,2.9
17,Daria Kasatkina,AUS,54,31-23,57.4%,55.0%,2.8%,7.5%,65.6%,61.2%,43.0%,62.0%,6.7,3.0
18,Liudmila Samsonova,RUS,52,30-22,57.7%,59.3%,5.8%,6.0%,55.6%,69.1%,46.9%,70.5%,6.6,2.7
19,Donna Vekic,CRO,48,27-21,56.3%,59.5%,5.7%,6.2%,55.3%,71.0%,45.2%,72.4%,6.6,2.7
