Year,Champions_Countries,Champions,Runners_up_Countries,Runners-up,Score_in_final
1969,"AUS, AUS","Rod Laver, Roy Emerson","AUS, AUS","Ken Rosewall, Fred Stolle","6–4, 6–4"
1970,"USA, USA","Bob Lutz, Stan Smith","AUS, AUS","John Alexander, Phil Dent","8–6, 6–3, 6–4"
1971,"AUS, AUS","John Newcombe, Tony Roche","NLD, USA","Tom Okker, Marty Riessen","6–2, 7–6"
1972,"AUS, AUS","Ken Rosewall, Owen Davidson","AUS, AUS","Ross Case, Geoff Masters","3–6, 7–6, 6–2"
1973,"AUS, AUS","John Newcombe, Malcolm Anderson","AUS, AUS","John Alexander, Phil Dent","6–3, 6–4, 7–6"
1974,"AUS, AUS","Ross Case, Geoff Masters","AUS, AUS","Syd Ball, Bob Giltinan","6–7, 6–3, 6–4"
1975,"AUS, AUS","John Alexander, Phil Dent","AUS, AUS","Bob Carmichael, Allan Stone","6–3, 7–6"
1976,"AUS, AUS","John Newcombe, Tony Roche","AUS, AUS","Ross Case, Geoff Masters","7–6, 6–4"
1977,"USA, AUS","Arthur Ashe, Tony Roche","USA, USA","Charlie Pasarell, Erik van Dillen","6–4, 6–4"
1977,"AUS, AUS","Ray Ruffels, Allan Stone","AUS, AUS","John Alexander, Phil Dent","7–6, 7–6"
1978,"POL, AUS","Wojtek Fibak, Kim Warwick","AUS, AUS","Paul Kronk, Cliff Letcher","7–6, 7–5"
1979,"AUS, AUS","Peter McNamara, Paul McNamee","AUS, AUS","Paul Kronk, Cliff Letcher","7–6, 6–2"
1980,"AUS, AUS","Mark Edmondson, Kim Warwick","AUS, AUS","Peter McNamara, Paul McNamee","7–5, 6–4"
1981,"AUS, AUS","Mark Edmondson, Kim Warwick","USA, USA","Hank Pfister, John Sadri","6–3, 6–7, 6–3"
1982,"AUS, AUS","John Alexander, John Fitzgerald","USA, USA","Andy Andrews, John Sadri","6–4, 7–6"
1983,"AUS, AUS","Mark Edmondson, Paul McNamee","USA, USA","Steve Denton, Sherwood Stewart","6–3, 7–6"
1984,"AUS, USA","Mark Edmondson, Sherwood Stewart","SWE, SWE","Joakim Nyström, Mats Wilander","6–2, 6–2, 7–5"
1985,"USA, ZAF","Paul Annacone, Christo van Rensburg","AUS, AUS","Mark Edmondson, Kim Warwick","3–6, 7–6, 6–4, 6–4"
1987,"SWE, SWE","Stefan Edberg, Anders Järryd","AUS, AUS","Peter Doohan, Laurie Warder","6–4, 6–4, 7–6"
1988,"USA, USA","Rick Leach, Jim Pugh","GBR, SWE","Jeremy Bates, Peter Lundgren","6–3, 6–2, 6–3"
1989,"USA, USA","Rick Leach, Jim Pugh","AUS, AUS","Darren Cahill, Mark Kratzmann","6–4, 6–4, 6–4"
1990,"ZAF, ZAF","Pieter Aldrich, Danie Visser","CAN, CAN","Grant Connell, Glenn Michibata","6–4, 4–6, 6–1, 6–4"
1991,"USA, USA","Scott Davis, David Pate","USA, USA","Patrick McEnroe, David Wheaton","6–7, 7–6, 6–3, 7–5"
1992,"AUS, AUS","Todd Woodbridge, Mark Woodforde","USA, USA","Kelly Jones, Rick Leach","6–4, 6–3, 6–4"
1993,"ZAF, AUS","Danie Visser, Laurie Warder","AUS, SWE","John Fitzgerald, Anders Järryd","6–4, 6–3, 6–4"
1994,"NLD, NLD","Jacco Eltingh, Paul Haarhuis","ZWE, USA","Byron Black, Jonathan Stark","6–7, 6–3, 6–4, 6–3"
1995,"USA, USA","Jared Palmer, Richey Reneberg","BHS, CAN","Mark Knowles, Daniel Nestor","6–3, 3–6, 6–3, 6–2"
