Year,Champion_Country,Champion,Runner_up_Country,Runner-up,Score_in_final
1969,AUS,Margaret Court,USA,Billie Jean King,"6–4, 6–1"
1970,AUS,Margaret Court,AUS,Kerry Melville,"6–1, 6–3"
1971,AUS,Margaret Court,AUS,Evonne Goolagong,"2–6, 7–6(7–0), 7–5"
1972,GBR,Virginia Wade,AUS,Evonne Goolagong,"6–4, 6–4"
1973,AUS,Margaret Court,AUS,Evonne Goolagong,"6–4, 7–5"
1974,AUS,Evonne Goolagong,USA,Chris Evert,"7–6(7–5), 4–6, 6–0"
1975,AUS,Evonne Goolagong,TCH[h],Martina Navratilova,"6–3, 6–2"
1976,AUS,Evonne Goolagong,TCH,Renáta Tomanová,"6–2, 6–2"
1977,AUS,Kerry Melville Reid,AUS,Dianne Fromholtz,"7–5, 6–2"
1977,AUS,Evonne Goolagong,AUS,Helen Gourlay,"6–3, 6–0"
1978,AUS,Chris O'Neil,USA,Betsy Nagelsen,"6–3, 7–6(7–3)"
1979,USA,Barbara Jordan,USA,Sharon Walsh,"6–3, 6–3"
1980,TCH,Hana Mandlíková,AUS,Wendy Turnbull,"6–0, 7–5"
1981,USA,Martina Navratilova,USA,Chris Evert,"6–7(7–4), 6–4, 7–5"
1982,USA,Chris Evert,USA,Martina Navratilova,"6–3, 2–6, 6–3"
1983,USA,Martina Navratilova,USA,Kathy Jordan,"6–2, 7–6(7–5)"
1984,USA,Chris Evert,TCH,Helena Suková,"6–7(4–7), 6–1, 6–3"
1985,USA,Martina Navratilova,USA,Chris Evert,"6–2, 4–6, 6–2"
1987,TCH,Hana Mandlíková,USA,Martina Navratilova,"7–5, 7–6(7–1)"
1988,FRG,Steffi Graf,USA,Chris Evert,"6–1, 7–6(7–3)"
1989,FRG,Steffi Graf,TCH,Helena Suková,"6–4, 6–4"
1990,FRG,Steffi Graf,USA,Mary Joe Fernández,"6–3, 6–4"
1991,YUG,Monica Seles,TCH,Jana Novotná,"5–7, 6–3, 6–1"
1992,YUG,Monica Seles,USA,Mary Joe Fernández,"6–2, 6–3"
1993,YUG,Monica Seles,GER[l],Steffi Graf,"4–6, 6–3, 6–2"
1994,GER,Steffi Graf,ESP,Arantxa Sánchez Vicario,"6–0, 6–2"
1995,FRA,Mary Pierce,ESP,Arantxa Sánchez Vicario,"6–3, 6–2"
1996,USA,Monica Seles,GER,Anke Huber,"6–4, 6–1"
1997,SUI,Martina Hingis,FRA,Mary Pierce,"6–2, 6–2"
1998,SUI,Martina Hingis,ESP,Conchita Martínez,"6–3, 6–3"
1999,SUI,Martina Hingis,FRA,Amélie Mauresmo,"6–2, 6–3"
2000,USA,Lindsay Davenport,SUI,Martina Hingis,"6–1, 7–5"
2001,USA,Jennifer Capriati,SUI,Martina Hingis,"6–4, 6–3"
2002,USA,Jennifer Capriati,SUI,Martina Hingis,"4–6, 7–6(9–7), 6–2"
2003,USA,Serena Williams,USA,Venus Williams,"7–6(7–4), 3–6, 6–4"
2004,BEL,Justine Henin,BEL,Kim Clijsters,"6–3, 4–6, 6–3"
2005,USA,Serena Williams,USA,Lindsay Davenport,"2–6, 6–3, 6–0"
2006,FRA,Amélie Mauresmo,BEL,Justine Henin,"6–1, 2–0retired"
2007,USA,Serena Williams,RUS,Maria Sharapova,"6–1, 6–2"
2008,RUS,Maria Sharapova,SRB,Ana Ivanovic,"7–5, 6–3"
2009,USA,Serena Williams,RUS,Dinara Safina,"6–0, 6–3"
2010,USA,Serena Williams,BEL,Justine Henin,"6–4, 3–6, 6–2"
2011,BEL,Kim Clijsters,CHN,Li Na,"3–6, 6–3, 6–3"
2012,BLR,Victoria Azarenka,RUS,Maria Sharapova,"6–3, 6–0"
2013,BLR,Victoria Azarenka,CHN,Li Na,"4–6, 6–4, 6–3"
2014,CHN,Li Na,SVK,Dominika Cibulková,"7–6(7–3), 6–0"
2015,USA,Serena Williams,RUS,Maria Sharapova,"6–3, 7–6(7–5)"
2016,GER,Angelique Kerber,USA,Serena Williams,"6–4, 3–6, 6–4"
2017,USA,Serena Williams,USA,Venus Williams,"6–4, 6–4"
2018,DEN,Caroline Wozniacki,ROU,Simona Halep,"7–6(7–2), 3–6, 6–4"
2019,JPN,Naomi Osaka,CZE,Petra Kvitová,"7–6(7–2), 5–7, 6–4"
2020,USA,Sofia Kenin,ESP,Garbiñe Muguruza,"4–6, 6–2, 6–2"
2021,JPN,Naomi Osaka,USA,Jennifer Brady,"6–4, 6–3"
2022,AUS,Ashleigh Barty,USA,Danielle Collins,"6–3, 7–6(7–2)"
2023,BLR,Aryna Sabalenka,KAZ,Elena Rybakina,"4–6, 6–3, 6–4"
2024,BLR,Aryna Sabalenka,CHN,Zheng Qinwen,"6–3, 6–2"
2025,USA,Madison Keys,BLR,Aryna Sabalenka,"6–3, 2–6, 7–5"
